stop_name,mainTrafficType,lat,lon
"Běleč,Elbančice,rozc.1.0",bus,49.5452423,14.8433428
Bělocerkevská,bus,50.0726051,14.4702988
Běloky,bus,50.1323,14.2208681
Bělušice,bus,50.0687065,15.3214951
"Bělušice,Na Dolejšku",bus,50.0640144,15.3263683
"Benátky n.Jiz.,aut.st.",bus,50.28554,14.827858
"Benátky n.Jiz.,Dražice,dvůr",bus,50.3075256,14.8415375
"Benátky n.Jiz.,Dražice,Na Štěpničce",bus,50.30378,14.8406639
"Benátky n.Jiz.,Dražice,závod",bus,50.3083076,14.8490515
"Benátky n.Jiz.,Dražická",bus,50.2935753,14.8296337
"Benátky n.Jiz.,Husovo nám.",bus,50.2918739,14.8264294
"Benátky n.Jiz.,Kbel",bus,50.29175,14.8448658
"Benátky n.Jiz.,Obodř",bus,50.28827,14.8183937
"Benátky n.Jiz.,Ovčín",bus,50.30818,14.8539934
"Benátky n.Jiz.,rozc.Sedlec",bus,50.2933273,14.7907734
"Benátky n.Jiz.,Soumarova",bus,50.288887,14.8239822
"Benátky n.Jiz.,u hřbitova",bus,50.29633,14.8324022
"Benecko,Dolní Štěpanice,host.u Šmídů",bus,50.6375771,15.5170689
"Benecko,Dolní Štěpanice,u mostu",bus,50.6312447,15.51884
Benešov u Prahy,train,49.7795029,14.6828356
"Benešov,Albert",bus,49.7918777,14.6801882
"Benešov,Antuškova",bus,49.7868271,14.6888714
"Benešov,Baba",bus,49.7953758,14.71138
"Benešov,Bedrč",bus,49.8078156,14.717411
"Benešov,Benea",bus,49.77294,14.67998
"Benešov,Benica",bus,49.7767067,14.6757154
"Benešov,Boušice",bus,49.7751274,14.7383165
"Benešov,Buková Lhota",bus,49.8163528,14.6492481
"Benešov,Buková Lhota,rozc.",bus,49.8128,14.6441765
"Benešov,Čechova",bus,49.7856522,14.6895208
"Benešov,Čerčanská",bus,49.7920036,14.6932621
"Benešov,Černoleská",bus,49.77511,14.695199
"Benešov,Černý les",bus,49.76956,14.7004728
"Benešov,Červený Dvůr",bus,49.7851257,14.736043
"Benešov,Dlouhé Pole",bus,49.78215,14.7366257
"Benešov,Dlouhé Pole,rozc.",bus,49.77739,14.7195787
"Benešov,Dukelská",bus,49.78247,14.6836262
"Benešov,Hráského",bus,49.7795753,14.6943083
"Benešov,Jana Nohy",bus,49.7764854,14.68036
"Benešov,Jiráskova Gymnázium",bus,49.7804527,14.6870461
"Benešov,Jiráskova Škola",bus,49.7806244,14.6882105
"Benešov,Jiřího Franka Dětské hřiště",bus,49.7885857,14.6952782
"Benešov,Jiřího Franka U Viaduktu",bus,49.78883,14.6895494
"Benešov,K Tužince",bus,49.79295,14.6896687
"Benešov,Karla Nového",bus,49.7829933,14.6868286
"Benešov,Karlov",bus,49.78458,14.6937151
"Benešov,Kaufland",bus,49.7934952,14.6820192
"Benešov,Ke Stadionu",bus,49.77859,14.6766939
"Benešov,Konopiště",bus,49.7825165,14.6574373
"Benešov,Konopiště,informační centrum",bus,49.7798576,14.6549473
"Benešov,Konopiště,sádky",bus,49.7719231,14.6510706
"Benešov,Konopiště,sv.Anna",bus,49.77313,14.65716
"Benešov,Konopiště,Šiberna",bus,49.77361,14.6690521
"Benešov,Konopišťská",bus,49.7812767,14.6801195
"Benešov,Křižíkova",bus,49.7702446,14.6781788
"Benešov,Lidl",bus,49.7885361,14.68367
"Benešov,Máchova",bus,49.785614,14.6815071
"Benešov,Mariánovice",bus,49.7627144,14.687253
"Benešov,Mariánovice,ČSAD",bus,49.7658844,14.6807661
"Benešov,Mariánovice,rozc.",bus,49.76529,14.6812124
"Benešov,MŠ Úsměv",bus,49.7899,14.6952257
"Benešov,Na Bezděkově",bus,49.78239,14.6914968
"Benešov,Na Chmelnici",bus,49.78101,14.6958866
"Benešov,Nechyba",bus,49.76944,14.7377081
"Benešov,Nemocnice Rudolfa a Stefanie",bus,49.7871475,14.6822243
"Benešov,Neumannova",bus,49.79176,14.683712
"Benešov,Nezvalova",bus,49.79003,14.6909418
"Benešov,Nová Pražská",bus,49.78439,14.6882486
"Benešov,Okrouhlice",bus,49.7908859,14.752984
"Benešov,Okrouhlice,lom",bus,49.7876778,14.7416592
"Benešov,Penny Market",bus,49.78695,14.6942282
"Benešov,Pinko",bus,49.7826424,14.6974792
"Benešov,Pivovar Ferdinand",bus,49.7803535,14.6915941
"Benešov,Plavecký stadion",bus,49.7777367,14.6936817
"Benešov,Pod Hřbitovem",bus,49.7854042,14.69727
"Benešov,Pomněnice",bus,49.79775,14.6734705
"Benešov,Pomněnice,obchodní centrum",bus,49.79587,14.6782751
"Benešov,Pomněnice,zahrádky",bus,49.7920837,14.6718988
"Benešov,Pražská",bus,49.7843361,14.6860542
"Benešov,Purkyňova",bus,49.7845268,14.6792269
"Benešov,Technické služby",bus,49.7876968,14.6930962
"Benešov,Terminál",bus,49.7796173,14.6835537
